iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,reproduction_rate,stringency_index
CHN,Asia,China,2020/1/22,547,,,17,,,26.39
CHN,Asia,China,2020/1/23,639,92,,18,1,3.05,44.91
CHN,Asia,China,2020/1/24,916,277,,26,8,3.3,44.91
CHN,Asia,China,2020/1/25,1399,483,,42,16,3.52,47.69
CHN,Asia,China,2020/1/26,2062,663,,56,14,3.62,69.91
CHN,Asia,China,2020/1/27,2863,801,,82,26,3.7,69.91
CHN,Asia,China,2020/1/28,5494,2631,706.714,131,49,3.72,69.91
CHN,Asia,China,2020/1/29,6070,576,789,133,2,3.31,69.91
CHN,Asia,China,2020/1/30,8124,2054,1069.286,171,38,3.06,69.91
CHN,Asia,China,2020/1/31,9783,1659,1266.714,213,42,2.82,69.91
CHN,Asia,China,2020/2/1,11871,2088,1496,259,46,2.68,77.31
CHN,Asia,China,2020/2/2,16607,4736,2077.857,361,102,2.6,77.31
CHN,Asia,China,2020/2/3,19693,3086,2404.286,425,64,2.34,77.31
CHN,Asia,China,2020/2/4,23680,3987,2598,490,65,2.09,77.31
CHN,Asia,China,2020/2/5,27409,3729,3048.429,562,72,1.95,77.31
CHN,Asia,China,2020/2/6,30553,3144,3204.143,632,70,1.71,77.31
CHN,Asia,China,2020/2/7,34075,3522,3470.286,717,85,1.59,77.31
CHN,Asia,China,2020/2/8,36778,2703,3558.143,804,87,1.46,77.31
CHN,Asia,China,2020/2/9,39790,3012,3311.857,904,100,1.38,77.31
CHN,Asia,China,2020/2/10,42306,2516,3230.429,1011,107,1.38,75.46
CHN,Asia,China,2020/2/11,44327,2021,2949.571,1111,100,1.4,75.46
CHN,Asia,China,2020/2/12,44699,372,2470,1116,5,1.59,75.46
CHN,Asia,China,2020/2/13,59832,15133,4182.714,1368,252,1.85,75.46
CHN,Asia,China,2020/2/14,66292,6460,4602.429,1520,152,1.55,75.46
CHN,Asia,China,2020/2/15,68347,2055,4509.857,1662,142,1.2,75.46
CHN,Asia,China,2020/2/16,70446,2099,4379.429,1765,103,0.94,75.46
CHN,Asia,China,2020/2/17,72364,1918,4294,1863,98,0.77,75.46
CHN,Asia,China,2020/2/18,74139,1775,4258.857,2002,139,0.61,75.46
CHN,Asia,China,2020/2/19,74546,407,4263.857,2114,112,0.52,75.46
CHN,Asia,China,2020/2/20,74999,453,2166.714,2236,122,0.39,75.46
CHN,Asia,China,2020/2/21,75472,473,1311.429,2236,0,0.37,75.46
CHN,Asia,China,2020/2/22,76922,1450,1225,2441,205,0.36,75.46
CHN,Asia,China,2020/2/23,76938,16,927.429,2443,2,0.3,75.46
CHN,Asia,China,2020/2/24,77152,214,684,2593,150,0.29,75.46
CHN,Asia,China,2020/2/25,77660,508,503,2663,70,0.3,81.02
CHN,Asia,China,2020/2/26,78065,405,502.714,2715,52,0.32,81.02
CHN,Asia,China,2020/2/27,78498,433,499.857,2744,29,0.3,81.02
