areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate,newCasesYesterday
nation,England,E92000001,2022/10/12,5146,20086702,3650,18788396,1496,1298306,7894
nation,England,E92000001,2022/10/11,7894,20081556,5765,18784746,2129,1296810,9283
nation,England,E92000001,2022/10/10,9283,20073662,6679,18778981,2604,1294681,7843
nation,England,E92000001,2022/10/9,7843,20064379,5757,18772302,2086,1292077,6393
nation,England,E92000001,2022/10/8,6393,20056536,4826,18766545,1567,1289991,8028
nation,England,E92000001,2022/10/7,8028,20050143,5996,18761719,2032,1288424,8516
nation,England,E92000001,2022/10/6,8516,20042115,6392,18755723,2124,1286392,9340
nation,England,E92000001,2022/10/5,9340,20033599,6876,18749331,2464,1284268,10134
nation,England,E92000001,2022/10/4,10134,20024259,7464,18742455,2670,1281804,10825
nation,England,E92000001,2022/10/3,10825,20014125,7929,18734991,2896,1279134,8573
nation,England,E92000001,2022/10/2,8573,20003300,6463,18727062,2110,1276238,6552
nation,England,E92000001,2022/10/1,6552,19994727,5026,18720599,1526,1274128,7071
nation,England,E92000001,2022/9/30,7071,19988175,5431,18715573,1640,1272602,7321
nation,England,E92000001,2022/9/29,7321,19981104,5530,18710142,1791,1270962,7759
nation,England,E92000001,2022/9/28,7759,19973783,5829,18704612,1930,1269171,7603
nation,England,E92000001,2022/9/27,7603,19966024,5616,18698783,1987,1267241,8018
nation,England,E92000001,2022/9/26,8018,19958421,5854,18693167,2164,1265254,6722
nation,England,E92000001,2022/9/25,6722,19950403,4946,18687313,1776,1263090,5302
nation,England,E92000001,2022/9/24,5302,19943681,3999,18682367,1303,1261314,5995
nation,England,E92000001,2022/9/23,5995,19938379,4518,18678368,1477,1260011,6285
nation,England,E92000001,2022/9/22,6285,19932384,4629,18673850,1656,1258534,6915
