iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,reproduction_rate,stringency_index
GBR,Europe,United Kingdom,2020/1/30,,,,1,1,,5.56
GBR,Europe,United Kingdom,2020/1/31,2,2,,1,0,,8.33
GBR,Europe,United Kingdom,2020/2/1,2,0,,1,0,,8.33
GBR,Europe,United Kingdom,2020/2/2,2,0,,2,1,,11.11
GBR,Europe,United Kingdom,2020/2/3,8,6,,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/4,8,0,,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/5,9,1,1.286,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/6,9,0,1.286,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/7,9,0,1,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/8,13,4,1.571,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/9,14,1,1.714,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/10,14,0,0.857,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/11,15,1,1,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/12,16,1,1,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/13,17,1,1.143,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/14,18,1,1.286,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/15,18,0,0.714,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/16,18,0,0.571,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/17,19,1,0.714,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/18,19,0,0.571,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/19,20,1,0.571,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/20,22,2,0.714,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/21,23,1,0.714,2,0,,11.11
GBR,Europe,United Kingdom,2020/2/22,23,0,0.714,3,1,,11.11
GBR,Europe,United Kingdom,2020/2/23,28,5,1.429,3,0,,11.11
GBR,Europe,United Kingdom,2020/2/24,30,2,1.571,3,0,,11.11
GBR,Europe,United Kingdom,2020/2/25,34,4,2.143,3,0,,11.11
GBR,Europe,United Kingdom,2020/2/26,37,3,2.429,3,0,,11.11
GBR,Europe,United Kingdom,2020/2/27,44,7,3.143,3,0,,11.11
GBR,Europe,United Kingdom,2020/2/28,56,12,4.714,3,0,,11.11
GBR,Europe,United Kingdom,2020/2/29,61,5,5.429,3,0,,11.11
GBR,Europe,United Kingdom,2020/3/1,94,33,9.429,3,0,,11.11
GBR,Europe,United Kingdom,2020/3/2,134,40,14.857,4,1,,11.11
GBR,Europe,United Kingdom,2020/3/3,189,55,22.143,4,0,2.39,11.11
GBR,Europe,United Kingdom,2020/3/4,245,56,29.714,5,1,2.39,11.11
GBR,Europe,United Kingdom,2020/3/5,294,49,35.714,7,2,2.4,11.11
GBR,Europe,United Kingdom,2020/3/6,373,79,45.286,9,2,2.42,11.11
GBR,Europe,United Kingdom,2020/3/7,428,55,52.429,9,0,2.44,11.11
GBR,Europe,United Kingdom,2020/3/8,482,54,55.429,11,2,2.46,11.11
GBR,Europe,United Kingdom,2020/3/9,629,147,70.714,16,5,2.49,11.11
GBR,Europe,United Kingdom,2020/3/10,887,258,99.714,19,3,2.51,11.11
GBR,Europe,United Kingdom,2020/3/11,1298,411,150.429,26,7,2.51,11.11
GBR,Europe,United Kingdom,2020/3/12,1787,489,213.286,39,13,2.48,11.11
GBR,Europe,United Kingdom,2020/3/13,2266,479,270.429,55,16,2.44,12.96
GBR,Europe,United Kingdom,2020/3/14,2630,364,314.571,76,21,2.4,12.96
GBR,Europe,United Kingdom,2020/3/15,3072,442,370,107,31,2.35,12.96
GBR,Europe,United Kingdom,2020/3/16,3684,612,436.429,158,51,2.31,16.67
GBR,Europe,United Kingdom,2020/3/17,4452,768,509.286,216,58,2.27,22.22
GBR,Europe,United Kingdom,2020/3/18,5451,999,593.286,289,73,2.24,31.48
GBR,Europe,United Kingdom,2020/3/19,6506,1055,674.143,368,79,2.21,31.48
GBR,Europe,United Kingdom,2020/3/20,7760,1254,784.857,486,118,2.18,37.04
GBR,Europe,United Kingdom,2020/3/21,8957,1197,903.857,630,144,2.14,47.22
GBR,Europe,United Kingdom,2020/3/22,10333,1376,1037.286,813,183,2.11,62.04
GBR,Europe,United Kingdom,2020/3/23,12668,2335,1283.429,1021,208,2.07,78.24
GBR,Europe,United Kingdom,2020/3/24,15039,2371,1512.429,1284,263,2.02,79.63
GBR,Europe,United Kingdom,2020/3/25,17732,2693,1754.429,1621,337,1.97,79.63
