,prev_daily,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,reproduction_rate,stringency_index,"New Task Force, Bureau or Administrative Configuration",Anti-Disinformation Measures,Closure and Regulation of Schools,COVID-19 Vaccines,Curfew,Declaration of Emergency,External Border Restrictions,Health Monitoring,Health Resources,Health Testing,Hygiene,Internal Border Restrictions,Lockdown,Other Policy Not Listed Above,Public Awareness Measures,Quarantine,Restriction and Regulation of Businesses,Restriction and Regulation of Government Services,Restrictions of Mass Gatherings,Social Distancing
0,92.0,CHN,Asia,China,2020-01-22,547.0,,,17.0,,,26.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,277.0,CHN,Asia,China,2020-01-23,639.0,92.0,,18.0,1.0,3.05,44.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,483.0,CHN,Asia,China,2020-01-24,916.0,277.0,,26.0,8.0,3.3,44.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,663.0,CHN,Asia,China,2020-01-25,1399.0,483.0,,42.0,16.0,3.52,47.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,801.0,CHN,Asia,China,2020-01-26,2062.0,663.0,,56.0,14.0,3.62,69.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2631.0,CHN,Asia,China,2020-01-27,2863.0,801.0,,82.0,26.0,3.7,69.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,576.0,CHN,Asia,China,2020-01-28,5494.0,2631.0,706.714,131.0,49.0,3.72,69.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2054.0,CHN,Asia,China,2020-01-29,6070.0,576.0,789.0,133.0,2.0,3.31,69.91,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1659.0,CHN,Asia,China,2020-01-30,8124.0,2054.0,1069.286,171.0,38.0,3.06,69.91,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2088.0,CHN,Asia,China,2020-01-31,9783.0,1659.0,1266.714,213.0,42.0,2.82,69.91,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4736.0,CHN,Asia,China,2020-02-01,11871.0,2088.0,1496.0,259.0,46.0,2.68,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,3086.0,CHN,Asia,China,2020-02-02,16607.0,4736.0,2077.857,361.0,102.0,2.6,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,3987.0,CHN,Asia,China,2020-02-03,19693.0,3086.0,2404.286,425.0,64.0,2.34,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,3729.0,CHN,Asia,China,2020-02-04,23680.0,3987.0,2598.0,490.0,65.0,2.09,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,3144.0,CHN,Asia,China,2020-02-05,27409.0,3729.0,3048.429,562.0,72.0,1.95,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3522.0,CHN,Asia,China,2020-02-06,30553.0,3144.0,3204.143,632.0,70.0,1.71,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,2703.0,CHN,Asia,China,2020-02-07,34075.0,3522.0,3470.286,717.0,85.0,1.59,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,3012.0,CHN,Asia,China,2020-02-08,36778.0,2703.0,3558.143,804.0,87.0,1.46,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,2516.0,CHN,Asia,China,2020-02-09,39790.0,3012.0,3311.857,904.0,100.0,1.38,77.31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,2021.0,CHN,Asia,China,2020-02-10,42306.0,2516.0,3230.429,1011.0,107.0,1.38,75.46,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
