,prev_daily,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,reproduction_rate,stringency_index,"New Task Force, Bureau or Administrative Configuration",Anti-Disinformation Measures,Closure and Regulation of Schools,COVID-19 Vaccines,Curfew,Declaration of Emergency,External Border Restrictions,Health Monitoring,Health Resources,Health Testing,Hygiene,Internal Border Restrictions,Lockdown,Other Policy Not Listed Above,Public Awareness Measures,Quarantine,Restriction and Regulation of Businesses,Restriction and Regulation of Government Services,Restrictions of Mass Gatherings,Social Distancing
0,2.0,GBR,Europe,United Kingdom,2020-01-30,,,,1.0,1.0,,5.56,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.0,GBR,Europe,United Kingdom,2020-01-31,2.0,2.0,,1.0,0.0,,8.33,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0,GBR,Europe,United Kingdom,2020-02-01,2.0,0.0,,1.0,0.0,,8.33,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,6.0,GBR,Europe,United Kingdom,2020-02-02,2.0,0.0,,2.0,1.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.0,GBR,Europe,United Kingdom,2020-02-03,8.0,6.0,,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,GBR,Europe,United Kingdom,2020-02-04,8.0,0.0,,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0,GBR,Europe,United Kingdom,2020-02-05,9.0,1.0,1.286,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0,GBR,Europe,United Kingdom,2020-02-06,9.0,0.0,1.286,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4.0,GBR,Europe,United Kingdom,2020-02-07,9.0,0.0,1.0,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,GBR,Europe,United Kingdom,2020-02-08,13.0,4.0,1.571,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.0,GBR,Europe,United Kingdom,2020-02-09,14.0,1.0,1.714,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,GBR,Europe,United Kingdom,2020-02-10,14.0,0.0,0.857,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,GBR,Europe,United Kingdom,2020-02-11,15.0,1.0,1.0,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,GBR,Europe,United Kingdom,2020-02-12,16.0,1.0,1.0,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,GBR,Europe,United Kingdom,2020-02-13,17.0,1.0,1.143,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.0,GBR,Europe,United Kingdom,2020-02-14,18.0,1.0,1.286,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.0,GBR,Europe,United Kingdom,2020-02-15,18.0,0.0,0.714,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,GBR,Europe,United Kingdom,2020-02-16,18.0,0.0,0.571,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.0,GBR,Europe,United Kingdom,2020-02-17,19.0,1.0,0.714,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,GBR,Europe,United Kingdom,2020-02-18,19.0,0.0,0.571,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,2.0,GBR,Europe,United Kingdom,2020-02-19,20.0,1.0,0.571,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,GBR,Europe,United Kingdom,2020-02-20,22.0,2.0,0.714,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.0,GBR,Europe,United Kingdom,2020-02-21,23.0,1.0,0.714,2.0,0.0,,11.11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
